Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Coronel  Mateo,Argentinos,5,11,2.2,11,2.2,0,0,0,0,0,0,0,,0,,
Gonzalez  Gaston,Union,6,34,5.67,32,5.33,0,0,0,0,1,0,0,,0,,
Reniero  Nicolas,Argentinos,5,24,4.8,22,4.4,0,0,0,0,1,0,0,,0,,
Argañaraz  Abel,Ctral. Cordoba,6,27,4.5,29,4.83,0,0,1,0,1,0,0,,0,,
Badaloni  Tomas,Godoy Cruz,6,25,4.17,25,4.17,0,0,0,0,0,0,0,,0,,
Bajamich  Mateo,Huracan,3,14,4.67,14,4.67,0,0,0,0,0,0,0,,0,,
Barrios  Lucas,Patronato,5,25,5,23,4.6,0,0,0,0,1,0,0,,0,,
Bouzat  Agustin,Velez,6,26,4.33,24,4,0,0,0,0,1,0,0,,0,,
Braida  Malcom,San Lorenzo,6,21,3.5,21,3.5,0,0,0,0,0,0,0,,0,,
Cabral  Rodrigo,Huracan,6,32,5.33,30,5,0,0,0,0,1,0,0,,0,,
Chancalay  Tomas,Racing,6,26,4.33,24,4,0,0,0,0,1,0,0,,0,,
Curruhinca  Agustin,Huracan,4,11,2.75,11,2.75,0,0,0,0,0,0,0,,0,,
Del Prete  Gustavo,Estudiantes,5,27,5.4,23,4.6,0,0,0,0,2,0,0,,0,,
Fernandez  Julian,Velez,3,6,2,4,1.33,0,0,0,0,1,0,0,,0,,
Fernandez  Nicolas Emanuel,San Lorenzo,6,29,4.83,25,4.17,0,0,0,0,0,0,1,,0,,
Fertoli  Hector,Talleres,6,23,3.83,23,3.83,0,0,0,0,0,0,0,,0,,
Gamba  Lucas,Rosario Ctral.,6,29,4.83,29,4.83,0,0,0,0,0,0,0,,0,,
Garro  Rodrigo,Talleres,5,25,5,23,4.6,0,0,0,0,1,0,0,,0,,
Giani  Justo,Newell's,2,11,5.5,9,4.5,0,0,0,0,1,0,0,,0,,
Gondou  Luciano,Sarmiento,4,17,4.25,17,4.25,0,0,0,0,0,0,0,,0,,
Juarez  Daniel,Union,6,31,5.17,29,4.83,0,0,0,0,1,0,0,,0,,
Lopez  Erik,Banfield,3,11,3.67,11,3.67,0,0,0,0,0,0,0,,0,,
Martinez  Braian,Aldosivi,2,11,5.5,11,5.5,0,0,0,0,0,0,0,,0,,
Mosquera  Edwin,Aldosivi,4,22,5.5,22,5.5,0,0,0,0,0,0,0,,0,,
Ortiz  Mauro,Patronato,6,28,4.67,28,4.67,0,0,0,0,0,0,0,,0,,
Perales  Jeremias,Banfield,3,10,3.33,10,3.33,0,0,0,0,0,0,0,,0,,
Peralta Bauer  Mariano,Union,4,21,5.25,21,5.25,0,0,0,0,0,0,0,,0,,
Ramirez  Matias,Godoy Cruz,4,24,6,20,5,0,0,0,0,0,1,0,,0,,
Rincon  Sebastian,Barracas Ctral.,2,6,3,6,3,0,0,0,0,0,0,0,,0,,
Ruiz Rodriguez  Ramiro,Atl. Tucuman,3,11,3.67,11,3.67,0,0,0,0,0,0,0,,0,,
Silva  Santiago,Aldosivi,6,30,5,30,5,0,0,0,0,0,0,0,,0,,
Sosa  Alexander,Patronato,4,21,5.25,21,5.25,0,0,0,0,0,0,0,,0,,
Sosa Sanchez  Sebastian,Velez,4,15,3.75,15,3.75,0,0,0,0,0,0,0,,0,,
Tijanovich  Horacio,Platense,4,22,5.5,18,4.5,0,0,0,0,2,0,0,,0,,
Valoyes  Diego,Talleres,2,11,5.5,11,5.5,0,0,0,0,0,0,0,,0,,
Castro  Facundo,Barracas Ctral.,5,19,3.8,25,5,0,0,1,0,0,0,0,,0,,
Martinez Dupuy  Luca,Rosario Ctral.,5,5,1,11,2.2,0,0,1,0,0,0,0,,0,,
Carbonero  Johan,Gimnasia L.P.,6,30,5,26,4.33,0,0,0,0,2,0,0,,0,,
